timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523080530264714,0,-4,-2,16,-1,11,13,-1
1523080530264714,9,7,14,29,7,-9,3,1
1523080530265700,-14,-7,-4,-12,11,-10,14,-11
1523080530265700,2,2,-1,22,-21,-32,-12,-1
1523080530278724,0,-1,-2,4,-2,23,-9,4
1523080530278724,-3,8,9,-21,24,16,2,-16
1523080530286731,-1,-11,-16,-14,-16,-10,-5,-20
1523080530286731,-8,6,-1,2,0,-4,10,67
1523080530309735,18,6,11,-9,-1,1,-4,-13
1523080530309735,2,2,3,-14,10,-21,0,0
1523080530310732,-9,-10,-11,-12,-8,4,-2,24
1523080530310732,-8,-1,3,21,-21,-9,-8,-13
1523080530324757,5,9,50,27,8,6,15,17
1523080530324757,4,8,7,0,9,-6,-26,0
1523080530324757,9,-6,0,22,-1,11,44,13
1523080530324757,-3,-2,-6,-8,7,-4,4,-14
1523080530338767,-13,-5,-23,-3,-11,-6,-53,-10
1523080530338767,1,0,6,2,-1,-7,43,7
1523080530346758,-4,-2,1,-9,3,5,-10,-5
1523080530346758,34,-1,-1,-1,-12,4,5,-45
1523080530368786,-45,-9,-13,-55,-6,2,13,-87
1523080530368786,-5,-3,-2,-5,-1,-3,-24,-29
1523080530376779,19,10,-10,-14,8,-8,1,69
1523080530376779,-11,-8,6,-5,7,-4,-5,-15
1523080530383796,2,-2,-16,1,-9,-6,-19,-4
1523080530383796,-10,-17,1,17,-4,0,6,-21
1523080530391803,0,3,0,-21,0,5,17,-60
1523080530391803,6,4,-9,-24,1,-1,-11,54
1523080530398809,8,2,4,12,11,2,11,25
1523080530398809,-3,-2,-3,-15,-9,-23,-25,2
1523080530405814,-41,-13,-13,14,-10,-1,-9,-27
1523080530405814,19,-12,-13,32,-20,-12,-9,67
1523080530420811,19,6,-28,-15,20,31,39,123
1523080530420811,47,23,41,-29,16,3,7,11
1523080530429818,-14,5,-2,-7,9,2,-12,-6
1523080530429818,-7,-14,-6,-13,-13,-11,-14,-60
1523080530443829,-20,-8,-15,-4,-13,-10,-4,-44
1523080530443829,-43,-12,-18,12,3,4,8,56
1523080530451847,48,5,17,-16,-8,-7,-5,1
1523080530451847,-30,4,-3,-25,4,-7,5,-22
1523080530467856,13,-3,-6,-28,14,24,8,7
1523080530467856,2,-5,-3,28,-7,-6,-6,-19
1523080530467856,-7,-3,9,11,-10,-8,-8,1
1523080530467856,-12,-4,-14,-20,9,3,10,-2
1523080530480867,31,0,27,3,-7,-3,0,-21
1523080530480867,-38,12,-23,-5,-2,-4,-8,-7
1523080530489888,2,-3,-1,-2,3,1,0,8
1523080530489888,-2,5,-7,-3,2,0,-7,-13
1523080530503884,-46,-14,-28,61,-1,1,0,-28
1523080530503884,32,-18,28,-56,-5,4,3,-4
1523080530511889,52,33,3,-117,10,1,4,63
1523080530511889,43,-28,14,79,7,0,0,-34
1523080530526887,-106,-3,-8,-24,-2,-6,-11,0
1523080530526887,53,-6,-43,-2,-3,-7,-3,-32
1523080530527887,13,-47,-38,10,-5,-12,-15,39
1523080530527887,37,35,49,-29,-10,8,17,10
1523080530540896,23,0,26,112,18,-9,-7,-4
1523080530540896,-32,-7,-3,-35,-2,5,-1,-2
1523080530549905,-15,-6,-22,-68,11,17,30,-11
1523080530549905,7,-17,-4,84,-13,-27,-11,5
1523080530563926,-7,-1,-3,-112,-29,0,1,27
1523080530563926,8,20,10,26,-13,-12,-14,17
1523080530571932,-13,0,20,94,8,-87,-62,-25
1523080530571932,58,19,4,-16,1,109,94,-27
1523080530586945,-47,-2,-36,-14,-1,-35,-21,-75
1523080530586945,25,-5,16,-105,0,1,6,-71
1523080530587940,11,19,8,107,-3,-17,19,-33
1523080530587940,-88,15,1,-38,12,-56,-50,64
1523080530600949,65,6,26,-49,64,-89,-35,-12
1523080530600949,18,-2,-22,30,-36,97,88,23
1523080530608954,-8,8,17,19,-18,-89,-5,-57
1523080530608954,-35,-13,-29,-24,-11,-50,-5,-33
1523080530623965,21,1,45,61,-17,-1,11,28
1523080530623965,-55,-14,-22,24,30,-128,-66,-4
1523080530631972,3,2,2,-11,-16,127,32,17
1523080530631972,8,-1,-19,-25,-34,-43,-10,22
1523080530646981,5,-5,-29,-16,-2,-20,22,8
1523080530646981,13,-1,7,24,11,-23,-17,-4
1523080530647983,-17,-1,13,-10,-4,-3,-30,4
1523080530647983,-3,-6,-20,-47,22,-1,-3,-5
1523080530660983,16,-1,-20,-13,-18,36,-6,-7
1523080530660983,-12,5,2,15,8,33,31,13
1523080530668997,-10,-7,-13,-6,13,-7,-36,-50
1523080530668997,-8,-1,37,4,0,6,-55,24
1523080530684011,22,16,7,-7,-5,32,100,58
1523080530684011,4,0,-10,0,10,6,-9,27
1523080530692017,-2,-3,-35,-39,2,-22,-27,-12
1523080530692017,-10,0,-10,22,13,27,-35,-23
1523080530707028,47,0,4,10,-25,-26,-16,-47
1523080530707028,-39,1,13,8,14,-2,42,64
1523080530708028,6,1,8,-17,-1,28,43,-7
1523080530708028,5,-4,3,-2,-4,-41,-27,-21
1523080530721038,-33,-3,-17,-5,-10,48,-1,15
1523080530721038,-18,1,-23,4,1,-20,-27,-18
1523080530729044,17,4,7,-7,-7,-34,-15,18
1523080530729044,18,1,-4,-15,2,8,21,2
1523080530744041,-10,-1,7,-3,7,-14,-37,-9
1523080530744041,12,-8,5,16,-9,-10,1,-16
1523080530752046,-18,-5,7,5,-19,40,54,37
1523080530752046,-2,3,9,-7,1,-1,16,-6
1523080530767071,7,-5,5,7,-1,-3,-8,0
1523080530767071,5,-5,-19,-2,-8,-7,-26,-7
1523080530768071,6,13,34,17,11,-10,-9,9
1523080530768071,-48,-1,-7,5,7,15,26,-1
1523080530781077,39,1,-4,11,7,-21,-12,13
1523080530781077,-24,-6,-8,2,2,15,-12,-26
1523080530789086,7,5,9,7,-1,11,7,7
1523080530789086,2,-6,-5,-7,-13,-29,14,-4
1523080530804093,-24,-11,-8,-4,-6,36,-7,1
1523080530804093,7,12,2,-3,-7,37,-11,26
1523080530812089,-32,-9,-8,-12,-34,-30,3,-15
1523080530812089,20,1,9,-19,11,9,-8,-9
1523080530826118,-3,4,-2,7,19,-32,-8,2
1523080530826118,-12,-4,11,6,1,-6,6,-5
1523080530835106,-9,-8,-16,0,12,-14,-18,-3
1523080530835106,8,4,-8,11,-1,-3,4,21
1523080530841130,-3,-7,11,-12,-23,-2,-10,-18
1523080530841130,31,11,25,5,12,6,7,13
1523080530850115,-27,-5,-18,-10,30,-10,-9,1
1523080530850115,5,-5,-10,1,-27,15,12,-3
1523080530864136,51,0,6,21,-13,-13,4,1
1523080530864136,-29,6,6,16,25,-15,-14,-20
1523080530873143,-14,-11,-25,-50,13,-11,12,15
1523080530873143,22,8,4,14,-23,29,20,4
1523080530886147,-18,-2,-4,-31,-7,-26,-17,0
1523080530886147,14,-13,-17,-26,-5,-75,-26,-13
1523080530895147,19,-2,11,28,-12,82,40,8
1523080530895147,-27,-9,-4,-12,5,-47,-22,-25
1523080530901162,-21,3,-19,-21,-3,-14,-4,16
1523080530901162,9,0,7,-2,-14,3,3,-4
1523080530910159,3,4,10,25,18,-12,-12,-6
1523080530910159,-2,2,-3,-7,9,3,0,4
1523080530924206,-4,6,19,22,19,33,8,0
1523080530924206,-25,-14,-14,22,-36,-14,-19,-19
